Year,Afghanistan,Africa,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Asia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire Sint Eustatius and Saba,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Europe,Faeroe Islands,Falkland Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (country),Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North America,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oceania,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Saint Barthlemy,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Martin (French part),Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South America,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Svalbard and Jan Mayen,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Vatican,Venezuela,Vietnam,Wallis and Futuna,Western Sahara,World,Yemen,Zambia,Zimbabwe
-10000,14737.0,227611.0,1199.0,12090.0,,25.0,379.0,,1.0,27969.0,9614.0,,1184300.0,250000.0,1465.0,20584.0,,77.0,9599.0,,20549.0,888.0,200.0,2557.0,,41.0,104718.0,,2349.0,28.0,415019.0,,8.0,1165.0,3503.0,584.0,10453.0,3224.0,17259.0,,,2265.0,9682.0,,34799.0,217313.0,128828.0,,1949.0,,2115.0,4577.0,1198.0,241.0,,922.0,697.0,21905.0,540.0,143.0,,755.0,69685.0,13668.0,8673.0,2049.0,3098.0,28.0,88.0,16296.0,482818.0,8.0,,,421.0,16785.0,,,343.0,25.0,25145.0,6576.0,4013.0,,494.0,,4.0,12.0,,52148.0,2110.0,188.0,5.0,,13390.0,1558.0,2109.0,8.0,84810.0,20971.0,38101.0,35992.0,224.0,,12402.0,12658.0,,5202.0,11376.0,108469.0,10114.0,,912.0,28350.0,10776.0,38.0,20511.0,146.0,2417.0,6936.0,1363.0,45.0,791.0,,6.0,2762.0,754.0,,3871.0,,,,2995.0,,,805299.0,,11216.0,,14955.0,,,17352.0,2155.0,19798.0,43.0,,107405.0,1220.0,,3.0,,30733.0,9543.0,17305.0,,1179191.0,10773.0,725.0,,237.0,260416.0,2644.0,8500.0,,,14392.0,10413.0,3500.0,242217.0,16146.0,699.0,7160.0,,78.0,,2799.0,258920.0,539.0,,,,,,,,,,2.0,17339.0,713.0,4363.0,,73.0,,,1679.0,1308.0,,3470.0,90.0,1097844.0,10786.0,,18221.0,32212.0,11863.0,3.0,,237.0,507.0,26928.0,5579.0,24652.0,7899.0,14011.0,387.0,3115.0,,,,4837.0,39506.0,19721.0,,,13184.0,98793.0,409.0,2189.0,233969.0,,1705.0,102306.0,,,69396.0,21429.0,,,4432180.0,981.0,668.0,749.0
-9000,20405.0,323035.0,1999.0,20150.0,,34.0,633.0,,3.0,31499.0,11216.0,,1673940.0,250000.0,1625.0,24015.0,1.0,115.0,32893.0,,23974.0,1333.0,250.0,4262.0,,52.0,116354.0,,3732.0,57.0,544715.0,,10.0,2136.0,5254.0,779.0,15158.0,4836.0,19177.0,,,3398.0,12910.0,,35725.0,362188.0,161035.0,,2599.0,,3173.0,6408.0,2119.0,301.0,,1536.0,1395.0,28072.0,1080.0,215.0,,944.0,77428.0,20274.0,9637.0,2562.0,3872.0,56.0,132.0,22815.0,590825.0,11.0,,,562.0,24260.0,,,515.0,33.0,29336.0,9864.0,6020.0,,594.0,,9.0,25.0,,57942.0,3165.0,282.0,10.0,,14877.0,2596.0,2812.0,16.0,167150.0,26214.0,50954.0,39990.0,448.0,,17533.0,16879.0,,7803.0,14480.0,126548.0,12605.0,,1368.0,33075.0,13470.0,77.0,28715.0,219.0,3626.0,10404.0,1557.0,90.0,1187.0,,10.0,3460.0,942.0,,5807.0,,,,3993.0,,,1006627.0,,13086.0,,19963.0,,,26028.0,3018.0,21998.0,87.0,,134256.0,1355.0,,6.0,,34148.0,12724.0,24227.0,,1423032.0,13467.0,1209.0,,316.0,265625.0,3966.0,29124.0,,,15954.0,15619.0,4017.0,290661.0,19376.0,1166.0,10741.0,,117.0,,4665.0,302073.0,719.0,,,,,,,,,,3.0,26009.0,951.0,7177.0,,97.0,,,2799.0,2078.0,,5206.0,180.0,1340451.0,13482.0,,25510.0,40265.0,19786.0,7.0,,316.0,634.0,40392.0,7439.0,28760.0,10239.0,15763.0,484.0,4154.0,,,,8062.0,59259.0,23008.0,,,16061.0,115259.0,614.0,3065.0,259964.0,,1894.0,119357.0,,,77106.0,28652.0,,,5616908.0,1963.0,1002.0,1124.0
-8000,28253.0,462967.0,3332.0,33583.0,,45.0,1055.0,,7.0,35528.0,13086.0,,2406872.0,250001.0,1802.0,28017.0,4.0,173.0,54822.0,,27970.0,2000.0,313.0,7104.0,,65.0,129282.0,,5927.0,115.0,714937.0,,13.0,3917.0,7881.0,1039.0,22042.0,7254.0,21307.0,,,5097.0,17213.0,,36879.0,603644.0,201293.0,,3466.0,,4760.0,8972.0,3749.0,376.0,,2561.0,2790.0,36011.0,2160.0,322.0,,1180.0,86032.0,30172.0,10707.0,3202.0,4840.0,113.0,199.0,31941.0,731941.0,15.0,,,750.0,35250.0,1.0,,772.0,45.0,34225.0,14796.0,9030.0,,748.0,,19.0,50.0,,64380.0,4748.0,423.0,20.0,1.0,16531.0,4327.0,3750.0,33.0,329434.0,32768.0,69608.0,44452.0,897.0,,24871.0,22509.0,,11705.0,18447.0,147639.0,15740.0,,2052.0,38587.0,16837.0,155.0,40202.0,328.0,5439.0,15607.0,1780.0,181.0,1781.0,,15.0,4336.0,1178.0,,8711.0,,,,5325.0,,,1258282.0,,15267.0,,26663.0,,,39043.0,4225.0,24443.0,174.0,,167820.0,1506.0,,13.0,,37942.0,16965.0,33918.0,,1722399.0,16834.0,2015.0,,421.0,273443.0,5949.0,48540.0,,,17689.0,23429.0,4625.0,348793.0,23251.0,1944.0,16111.0,,175.0,,7775.0,352420.0,959.0,,,,1.0,,,,,,5.0,39013.0,1269.0,11818.0,,130.0,,,4665.0,3300.0,,7809.0,361.0,1645184.0,16853.0,,35714.0,50331.0,33007.0,15.0,,421.0,793.0,60588.0,9919.0,33554.0,13358.0,17733.0,605.0,5539.0,,,,13436.0,88888.0,26843.0,,,19595.0,134469.0,922.0,4291.0,288850.0,,2105.0,139251.0,,,85674.0,38323.0,,,7242806.0,3927.0,1503.0,1686.0
-7000,39120.0,670019.0,5554.0,55973.0,,61.0,1758.0,1.0,14.0,40136.0,15267.0,,3582147.0,250001.0,2000.0,32687.0,8.0,260.0,91371.0,,32632.0,3000.0,391.0,11840.0,,81.0,143646.0,,9414.0,231.0,938353.0,,16.0,7182.0,11822.0,1385.0,32146.0,10881.0,23675.0,,,7646.0,22951.0,,38283.0,1006079.0,251618.0,,4622.0,,7140.0,12561.0,6634.0,471.0,,4268.0,5580.0,46241.0,4320.0,483.0,,1475.0,95591.0,45006.0,11897.0,4003.0,6050.0,226.0,299.0,44718.0,920678.0,21.0,,,999.0,51458.0,3.0,,1158.0,60.0,39929.0,22195.0,13545.0,,1000.0,,38.0,101.0,,71533.0,7122.0,635.0,41.0,3.0,18367.0,7212.0,5000.0,66.0,649271.0,40960.0,96999.0,49435.0,1794.0,,35403.0,30019.0,,17558.0,23520.0,172246.0,19697.0,,3079.0,45018.0,21046.0,311.0,56282.0,492.0,8159.0,23411.0,2034.0,362.0,2672.0,,22.0,5434.0,1472.0,,13067.0,2.0,,,7100.0,,,1572852.0,,17811.0,,35641.0,,,58564.0,5915.0,27158.0,349.0,,209775.0,1673.0,,27.0,,42158.0,22621.0,47485.0,,2090684.0,21042.0,3359.0,,562.0,285172.0,8924.0,80901.0,,,19614.0,35144.0,5344.0,418551.0,27901.0,3239.0,24167.0,,263.0,,12960.0,411162.0,1279.0,,,,2.0,,,,,,8.0,58520.0,1692.0,19483.0,,173.0,,,7775.0,5242.0,,11714.0,723.0,2029128.0,21066.0,,49999.0,62914.0,55072.0,30.0,,562.0,992.0,90882.0,13226.0,39146.0,17550.0,19950.0,756.0,7385.0,,,,22394.0,133333.0,31317.0,,,23940.0,156880.0,1383.0,6008.0,320944.0,,2339.0,162459.0,,,95193.0,51278.0,,,9577828.0,7855.0,2254.0,2529.0
-6000,54166.0,979104.0,9256.0,93289.0,,81.0,2930.0,3.0,29.0,45421.0,17811.0,,5644874.0,250001.0,2999.0,38135.0,17.0,391.0,152285.0,,38070.0,3000.0,489.0,19734.0,,102.0,159607.0,,14952.0,463.0,1231605.0,,20.0,13168.0,17734.0,1847.0,47033.0,16322.0,26306.0,,,11469.0,30601.0,,39958.0,1676766.0,314522.0,,6162.0,,10711.0,17586.0,11738.0,588.0,,7114.0,11160.0,59438.0,4800.0,725.0,,1844.0,106212.0,67243.0,13219.0,5004.0,7563.0,453.0,448.0,62605.0,1216047.0,28.0,,,1500.0,77188.0,6.0,,1738.0,80.0,46584.0,33292.0,20318.0,,13000.0,,76.0,203.0,,79481.0,10683.0,952.0,83.0,7.0,20408.0,12021.0,42187.0,132.0,1279633.0,51199.0,264999.0,55000.0,3589.0,,50565.0,52539.0,,26337.0,30016.0,200952.0,24702.0,,4618.0,52522.0,26308.0,622.0,78796.0,739.0,12239.0,35116.0,2325.0,725.0,4009.0,,34.0,6812.0,1841.0,,19601.0,5.0,,,9466.0,,,1966066.0,,20780.0,,47703.0,,,87846.0,8281.0,30176.0,699.0,,262219.0,3347.0,,55.0,,46842.0,30161.0,66480.0,,2544649.0,26303.0,5598.0,,750.0,302772.0,13387.0,134835.0,,,21751.0,52716.0,6198.0,502262.0,33482.0,5399.0,36251.0,,395.0,,21599.0,479684.0,1705.0,,,,5.0,,,,,,12.0,87781.0,2256.0,32150.0,,231.0,,,12959.0,8326.0,,17571.0,1446.0,2514303.0,26333.0,,49999.0,78643.0,91905.0,61.0,,750.0,1488.0,136323.0,17635.0,45671.0,23233.0,22443.0,946.0,9847.0,,,,37324.0,200000.0,36537.0,,,29289.0,183027.0,2075.0,6008.0,356604.0,,2598.0,189536.0,,,105770.0,68641.0,,,13201749.0,15710.0,3381.0,3794.0
-5000,74999.0,1444504.0,15428.0,155482.0,,110.0,4884.0,7.0,58.0,51500.0,20780.0,,9455229.0,250002.0,4000.0,44491.0,35.0,586.0,253808.0,,44415.0,3000.0,611.0,32890.0,,127.0,177342.0,,23748.0,927.0,1616463.0,,25.0,24141.0,26601.0,2463.0,69050.0,24483.0,29229.0,,,17204.0,40802.0,,41929.0,2794639.0,393154.0,,8217.0,,16066.0,24620.0,20767.0,736.0,,11857.0,22320.0,76479.0,5333.0,1088.0,1.0,2305.0,118013.0,100585.0,14688.0,6255.0,9454.0,906.0,673.0,87648.0,1612422.0,37.0,,,1999.0,103544.0,13.0,,2607.0,106.0,54348.0,44939.0,30477.0,,25000.0,,153.0,407.0,,88313.0,16024.0,1428.0,167.0,14.0,22676.0,20036.0,56250.0,265.0,2522014.0,63999.0,500001.0,99999.0,7178.0,,72463.0,75078.0,,39506.0,38340.0,234445.0,31045.0,,6927.0,61275.0,32885.0,1245.0,110314.0,1108.0,18358.0,52674.0,2657.0,1451.0,6013.0,,51.0,8540.0,2301.0,,29402.0,12.0,,,12622.0,,,2457586.0,,24243.0,,63966.0,,,131770.0,11594.0,33529.0,1399.0,,327774.0,6695.0,,111.0,,52047.0,40215.0,93072.0,,3105294.0,32879.0,9331.0,,1000.0,329187.0,20081.0,224726.0,,,24123.0,79074.0,7217.0,602715.0,40178.0,9000.0,54376.0,,592.0,,35999.0,559638.0,2273.0,,,,10.0,,,,,,19.0,131671.0,3008.0,53101.0,,309.0,,,21599.0,13224.0,,26357.0,2892.0,3129045.0,32917.0,,99999.0,98303.0,153413.0,123.0,,1000.0,1984.0,204485.0,23513.0,53283.0,31007.0,25249.0,1182.0,13129.0,,,,62207.0,633333.0,42626.0,,,35879.0,213532.0,3112.0,6008.0,396229.0,,2887.0,221125.0,,,117522.0,91927.0,,,19075681.0,31420.0,5072.0,5692.0
-4000,306250.0,2251122.0,25713.0,259136.0,,153.0,8141.0,14.0,117.0,58518.0,24243.0,,16080211.0,250002.0,9999.0,51906.0,71.0,880.0,423014.0,,51818.0,9999.0,764.0,54817.0,,159.0,197046.0,,37718.0,1854.0,2121616.0,,31.0,44259.0,39902.0,3284.0,101744.0,36726.0,32478.0,,,25806.0,54403.0,,44224.0,4657762.0,491443.0,,10956.0,,24100.0,34469.0,36742.0,920.0,,19762.0,44641.0,98508.0,5926.0,1633.0,2.0,2882.0,131126.0,250510.0,16320.0,7819.0,11818.0,1812.0,1009.0,122707.0,2365376.0,49.0,,,2999.0,204277.0,26.0,,3911.0,142.0,63407.0,87408.0,45715.0,,50000.0,,306.0,814.0,,98125.0,24037.0,2143.0,335.0,28.0,25195.0,33393.0,74999.0,531.0,4970538.0,79999.0,875001.0,300000.0,14356.0,,104181.0,150157.0,,59259.0,49019.0,273521.0,39104.0,,10391.0,71488.0,41107.0,2490.0,154440.0,1663.0,27537.0,79011.0,3037.0,2903.0,9020.0,,77.0,10708.0,2876.0,,44104.0,30.0,,,16829.0,,,3071972.0,,28284.0,,86013.0,,,197656.0,16232.0,37255.0,2798.0,,409718.0,13391.0,,223.0,,57830.0,53620.0,130301.0,,3798964.0,41099.0,15552.0,,1000.0,368837.0,30121.0,374544.0,,,26756.0,118611.0,8442.0,723260.0,48214.0,15000.0,81565.0,,889.0,,60000.0,652919.0,3031.0,,,,21.0,,,,,,28.0,197506.0,4011.0,87777.0,,412.0,,,35998.0,21004.0,1.0,39535.0,5784.0,3910071.0,41146.0,,200000.0,122880.0,256162.0,247.0,,2000.0,4960.0,306728.0,31351.0,62163.0,41737.0,69435.0,1478.0,17506.0,,,,103679.0,1066665.0,49731.0,,,44004.0,249120.0,4668.0,6008.0,440249.0,,3208.0,257979.0,,,130580.0,123178.0,,,28774581.0,62841.0,7609.0,8538.0
-3000,537500.0,4007530.0,42855.0,431893.0,,220.0,13569.0,29.0,235.0,66637.0,28284.0,,26811058.0,250003.0,20000.0,60557.0,143.0,1320.0,705024.0,,60454.0,20000.0,955.0,91362.0,,199.0,218940.0,,59905.0,3709.0,2784611.0,,39.0,81142.0,59853.0,4379.0,150501.0,55089.0,36088.0,,,38709.0,72537.0,,46875.0,7762904.0,614303.0,,14608.0,,36150.0,48256.0,65005.0,1150.0,,32938.0,89282.0,127015.0,6585.0,2450.0,5.0,3602.0,145696.0,1000000.0,18133.0,9774.0,14772.0,3625.0,1514.0,171790.0,3676430.0,66.0,,,3999.0,404336.0,52.0,,5867.0,190.0,73974.0,161113.0,68573.0,,100000.0,,613.0,1628.0,,109028.0,36055.0,3215.0,671.0,57.0,27995.0,55655.0,100000.0,1063.0,9796269.0,100000.0,1249996.0,499999.0,28713.0,,150253.0,300313.0,,88888.0,62733.0,319105.0,49365.0,,15587.0,83403.0,51383.0,4980.0,216216.0,2494.0,41306.0,118518.0,3471.0,5806.0,13531.0,,115.0,13429.0,3595.0,,66156.0,74.0,,,22439.0,,,3839967.0,,32998.0,,116133.0,,,296484.0,22725.0,41394.0,5597.0,,512148.0,26782.0,,447.0,,64255.0,71494.0,182421.0,,4658925.0,51373.0,25919.0,,1999.0,428368.0,45182.0,624241.0,,,29679.0,177917.0,9921.0,867911.0,57857.0,25000.0,122347.0,1.0,1334.0,,99999.0,761750.0,4042.0,,,,43.0,,,,,,42.0,296260.0,5348.0,145209.0,,549.0,,,59997.0,33359.0,1.0,59303.0,11568.0,4904765.0,51432.0,,399999.0,153600.0,427883.0,494.0,,4000.0,9920.0,460092.0,41802.0,72524.0,56679.0,113622.0,1847.0,23341.0,,,,172800.0,1500003.0,58019.0,,,54033.0,290640.0,7003.0,27036.0,489169.0,,3565.0,300976.0,,,145089.0,165149.0,,,44487076.0,125683.0,11413.0,12807.0
-2000,768751.0,6064634.0,71426.0,719821.0,,340.0,22615.0,58.0,471.0,76077.0,32998.0,,46907892.0,250004.0,60000.0,70650.0,287.0,1980.0,1175041.0,1.0,70530.0,40000.0,1194.0,152271.0,,249.0,243266.0,,95144.0,7419.0,3654791.0,,49.0,148760.0,89779.0,5839.0,223536.0,82633.0,40101.0,,,58064.0,96717.0,,49998.0,12938173.0,767885.0,,19477.0,,54225.0,67559.0,115009.0,1437.0,,54896.0,178565.0,163941.0,7316.0,3675.0,11.0,4503.0,161884.0,1500000.0,20148.0,12217.0,18466.0,7250.0,2271.0,240506.0,7193788.0,88.0,,,4999.0,998174.0,104.0,,8801.0,253.0,86303.0,316670.0,102860.0,,300000.0,,1226.0,3256.0,,121142.0,54083.0,4822.0,1342.0,114.0,31106.0,92759.0,200000.0,2126.0,19307326.0,733333.0,1624999.0,874999.0,57426.0,,217356.0,1000630.0,1.0,133333.0,80362.0,372289.0,62459.0,,23381.0,97303.0,64229.0,9960.0,302702.0,3741.0,61960.0,177777.0,3967.0,11612.0,20296.0,,173.0,16846.0,4494.0,,99234.0,182.0,,,29919.0,,,4799964.0,,38498.0,,157741.0,,,444725.0,31815.0,45993.0,11194.0,,640184.0,53565.0,,894.0,,71395.0,95325.0,255390.0,,5727183.0,64217.0,43199.0,,4999.0,517775.0,67773.0,1040402.0,,,32925.0,266875.0,11719.0,1041493.0,69428.0,62499.0,183522.0,2.0,2001.0,,300000.0,888743.0,5390.0,,,,87.0,,,,,,64.0,444391.0,7131.0,240386.0,,732.0,,,99996.0,52982.0,2.0,88955.0,23137.0,6174719.0,64291.0,,1000003.0,192000.0,715035.0,988.0,,10000.0,19840.0,690138.0,55736.0,84611.0,77671.0,157808.0,2309.0,31122.0,,,,288000.0,3000008.0,67689.0,,,66419.0,339082.0,10504.0,81108.0,543529.0,,3961.0,351138.0,,,161211.0,221568.0,,,72585991.0,251367.0,17120.0,19211.0
-1000,999998.0,8992370.0,119043.0,1199705.0,,595.0,37692.0,116.0,943.0,87072.0,38498.0,,72731436.0,250004.0,99999.0,82425.0,574.0,2971.0,1958399.0,3.0,82285.0,99999.0,1493.0,253785.0,,312.0,270296.0,,151111.0,14838.0,4796876.0,,62.0,272727.0,134669.0,7785.0,333446.0,123950.0,44563.0,,,87097.0,128956.0,,99997.0,12941979.0,959849.0,,25969.0,,81337.0,94582.0,203478.0,1797.0,,91494.0,357130.0,211822.0,8129.0,5512.0,23.0,5629.0,179871.0,2000001.0,22387.0,15272.0,23082.0,14501.0,3407.0,336709.0,13131088.0,118.0,,8383.0,6999.0,1986860.0,208.0,,13201.0,337.0,100688.0,625005.0,154291.0,,999999.0,,2453.0,6513.0,,134603.0,81125.0,7233.0,2684.0,228.0,34562.0,154599.0,300000.0,4253.0,38052124.0,1366666.0,2000007.0,1250001.0,114853.0,,315335.0,2001260.0,4.0,199999.0,103046.0,434339.0,79203.0,,35072.0,113520.0,80287.0,19920.0,423784.0,5612.0,92940.0,266664.0,4534.0,23224.0,30445.0,,260.0,21136.0,5618.0,,148851.0,442.0,,1.0,39892.0,,,5999926.0,,44914.0,,216117.0,,,667087.0,44542.0,515000.0,22389.0,,800230.0,107131.0,,1789.0,,79328.0,127100.0,357546.0,,7057104.0,80271.0,71999.0,,9999.0,661377.0,101660.0,1733998.0,,,36528.0,400313.0,13920.0,1249792.0,83314.0,100000.0,275282.0,5.0,3001.0,,500000.0,1036946.0,7186.0,,,,174.0,,,,,,96.0,666586.0,9508.0,398200.0,,977.0,1.0,,166660.0,84149.0,2.0,133432.0,46275.0,7846067.0,80364.0,,2000007.0,240000.0,1195514.0,1977.0,,50000.0,59521.0,1035207.0,74315.0,98713.0,107418.0,201995.0,2887.0,41496.0,,886.0,,480000.0,4500004.0,78970.0,,,81728.0,395594.0,15757.0,212283.0,603914.0,,4401.0,409661.0,,,179124.0,297476.0,,,110419442.0,502734.0,25681.0,28817.0
